Sensor S/N;YYYY-MM-DDThh:mm:ss (UTC);Value;Unit;Status
E80A0600102E;2026-06-12T19:30:28Z;4.84;°C;
E80A0600102E;2026-06-12T19:31:28Z;4.84;°C;
E80A0600102E;2026-06-12T19:32:28Z;4.84;°C;
E80A0600102E;2026-06-12T19:33:28Z;4.84;°C;
E80A0600102E;2026-06-12T19:34:28Z;4.84;°C;
E80A0600102E;2026-06-12T19:35:28Z;4.84;°C;
E80A0600102E;2026-06-12T19:36:28Z;4.91;°C;
E80A0600102E;2026-06-12T19:37:28Z;4.91;°C;
E80A0600102E;2026-06-12T19:38:28Z;4.97;°C;
E80A0600102E;2026-06-12T19:39:28Z;4.97;°C;
E80A0600102E;2026-06-12T19:40:28Z;4.97;°C;
E80A0600102E;2026-06-12T19:41:28Z;4.97;°C;
E80A0600102E;2026-06-12T19:42:28Z;5.03;°C;
E80A0600102E;2026-06-12T19:43:28Z;5.03;°C;
E80A0600102E;2026-06-12T19:44:28Z;5.09;°C;
E80A0600102E;2026-06-12T19:45:28Z;5.09;°C;
E80A0600102E;2026-06-12T19:46:28Z;5.09;°C;
E80A0600102E;2026-06-12T19:47:28Z;5.16;°C;
E80A0600102E;2026-06-12T19:48:28Z;5.16;°C;
E80A0600102E;2026-06-12T19:49:28Z;5.22;°C;
E80A0600102E;2026-06-12T19:50:28Z;5.22;°C;
E80A0600102E;2026-06-12T19:51:28Z;5.28;°C;
E80A0600102E;2026-06-12T19:52:28Z;5.28;°C;
E80A0600102E;2026-06-12T19:53:28Z;5.34;°C;
E80A0600102E;2026-06-12T19:54:28Z;5.34;°C;
E80A0600102E;2026-06-12T19:55:28Z;5.34;°C;
E80A0600102E;2026-06-12T19:56:28Z;5.41;°C;
E80A0600102E;2026-06-12T19:57:28Z;5.41;°C;
E80A0600102E;2026-06-12T19:58:28Z;5.47;°C;
E80A0600102E;2026-06-12T19:59:28Z;5.53;°C;
E80A0600102E;2026-06-12T20:00:28Z;5.53;°C;
E80A0600102E;2026-06-12T20:01:28Z;5.53;°C;
E80A0600102E;2026-06-12T20:02:28Z;5.59;°C;
E80A0600102E;2026-06-12T20:03:28Z;5.59;°C;
E80A0600102E;2026-06-12T20:04:28Z;5.59;°C;
E80A0600102E;2026-06-12T20:05:28Z;5.66;°C;
E80A0600102E;2026-06-12T20:06:28Z;5.59;°C;
E80A0600102E;2026-06-12T20:07:28Z;5.59;°C;
E80A0600102E;2026-06-12T20:08:28Z;5.53;°C;
E80A0600102E;2026-06-12T20:09:28Z;5.47;°C;
E80A0600102E;2026-06-12T20:10:28Z;5.47;°C;
E80A0600102E;2026-06-12T20:11:28Z;5.34;°C;
E80A0600102E;2026-06-12T20:12:28Z;5.28;°C;
E80A0600102E;2026-06-12T20:13:28Z;5.22;°C;
E80A0600102E;2026-06-12T20:14:28Z;5.22;°C;
E80A0600102E;2026-06-12T20:15:28Z;5.16;°C;
E80A0600102E;2026-06-12T20:16:28Z;5.09;°C;
E80A0600102E;2026-06-12T20:17:28Z;5.03;°C;
E80A0600102E;2026-06-12T20:18:28Z;4.97;°C;
E80A0600102E;2026-06-12T20:19:28Z;4.84;°C;
E80A0600102E;2026-06-12T20:20:28Z;4.84;°C;
E80A0600102E;2026-06-12T20:21:28Z;4.78;°C;
E80A0600102E;2026-06-12T20:22:28Z;4.72;°C;
E80A0600102E;2026-06-12T20:23:28Z;4.66;°C;
E80A0600102E;2026-06-12T20:24:28Z;4.53;°C;
E80A0600102E;2026-06-12T20:25:28Z;4.47;°C;
E80A0600102E;2026-06-12T20:26:28Z;4.41;°C;
E80A0600102E;2026-06-12T20:27:28Z;4.34;°C;
E80A0600102E;2026-06-12T20:28:28Z;4.34;°C;
E80A0600102E;2026-06-12T20:29:28Z;4.22;°C;
E80A0600102E;2026-06-12T20:30:28Z;4.22;°C;
E80A0600102E;2026-06-12T20:31:28Z;4.16;°C;
E80A0600102E;2026-06-12T20:32:28Z;4.09;°C;
E80A0600102E;2026-06-12T20:33:28Z;4.03;°C;
E80A0600102E;2026-06-12T20:34:28Z;3.97;°C;
E80A0600102E;2026-06-12T20:35:28Z;3.91;°C;
E80A0600102E;2026-06-12T20:36:28Z;3.84;°C;
E80A0600102E;2026-06-12T20:37:28Z;3.84;°C;
E80A0600102E;2026-06-12T20:38:28Z;3.78;°C;
E80A0600102E;2026-06-12T20:39:28Z;3.72;°C;
E80A0600102E;2026-06-12T20:40:28Z;3.66;°C;
E80A0600102E;2026-06-12T20:41:28Z;3.66;°C;
E80A0600102E;2026-06-12T20:42:28Z;3.59;°C;
E80A0600102E;2026-06-12T20:43:28Z;3.53;°C;
E80A0600102E;2026-06-12T20:44:28Z;3.53;°C;
E80A0600102E;2026-06-12T20:45:28Z;3.53;°C;
E80A0600102E;2026-06-12T20:46:28Z;3.53;°C;
E80A0600102E;2026-06-12T20:47:28Z;3.53;°C;
E80A0600102E;2026-06-12T20:48:28Z;3.53;°C;
E80A0600102E;2026-06-12T20:49:28Z;3.53;°C;
E80A0600102E;2026-06-12T20:50:28Z;3.53;°C;
E80A0600102E;2026-06-12T20:51:28Z;3.59;°C;
E80A0600102E;2026-06-12T20:52:28Z;3.59;°C;
E80A0600102E;2026-06-12T20:53:28Z;3.59;°C;
E80A0600102E;2026-06-12T20:54:28Z;3.66;°C;
E80A0600102E;2026-06-12T20:55:28Z;3.72;°C;
E80A0600102E;2026-06-12T20:56:28Z;3.72;°C;
E80A0600102E;2026-06-12T20:57:28Z;3.72;°C;
E80A0600102E;2026-06-12T20:58:28Z;3.78;°C;
E80A0600102E;2026-06-12T20:59:28Z;3.84;°C;
E80A0600102E;2026-06-12T21:00:28Z;3.84;°C;
E80A0600102E;2026-06-12T21:01:28Z;3.91;°C;
E80A0600102E;2026-06-12T21:02:28Z;3.97;°C;
E80A0600102E;2026-06-12T21:03:28Z;3.97;°C;
E80A0600102E;2026-06-12T21:04:28Z;4.03;°C;
E80A0600102E;2026-06-12T21:05:28Z;4.03;°C;
E80A0600102E;2026-06-12T21:06:28Z;4.09;°C;
E80A0600102E;2026-06-12T21:07:28Z;4.16;°C;
E80A0600102E;2026-06-12T21:08:28Z;4.16;°C;
E80A0600102E;2026-06-12T21:09:28Z;4.22;°C;
E80A0600102E;2026-06-12T21:10:28Z;4.28;°C;
E80A0600102E;2026-06-12T21:11:28Z;4.28;°C;
E80A0600102E;2026-06-12T21:12:28Z;4.34;°C;
E80A0600102E;2026-06-12T21:13:28Z;4.34;°C;
E80A0600102E;2026-06-12T21:14:28Z;4.41;°C;
E80A0600102E;2026-06-12T21:15:28Z;4.47;°C;
E80A0600102E;2026-06-12T21:16:28Z;4.47;°C;
E80A0600102E;2026-06-12T21:17:28Z;4.53;°C;
E80A0600102E;2026-06-12T21:18:28Z;4.53;°C;
E80A0600102E;2026-06-12T21:19:28Z;4.59;°C;
E80A0600102E;2026-06-12T21:20:28Z;4.66;°C;
E80A0600102E;2026-06-12T21:21:28Z;4.66;°C;
E80A0600102E;2026-06-12T21:22:28Z;4.72;°C;
E80A0600102E;2026-06-12T21:23:28Z;4.72;°C;
E80A0600102E;2026-06-12T21:24:28Z;4.78;°C;
E80A0600102E;2026-06-12T21:25:28Z;4.78;°C;
E80A0600102E;2026-06-12T21:26:28Z;4.84;°C;
E80A0600102E;2026-06-12T21:27:28Z;4.84;°C;
E80A0600102E;2026-06-12T21:28:28Z;4.91;°C;
E80A0600102E;2026-06-12T21:29:28Z;4.97;°C;
E80A0600102E;2026-06-12T21:30:28Z;4.97;°C;
E80A0600102E;2026-06-12T21:31:28Z;4.97;°C;
E80A0600102E;2026-06-12T21:32:28Z;5.03;°C;
E80A0600102E;2026-06-12T21:33:28Z;5.03;°C;
E80A0600102E;2026-06-12T21:34:28Z;5.03;°C;
E80A0600102E;2026-06-12T21:35:28Z;4.97;°C;
E80A0600102E;2026-06-12T21:36:28Z;4.91;°C;
E80A0600102E;2026-06-12T21:37:28Z;4.91;°C;
E80A0600102E;2026-06-12T21:38:28Z;4.84;°C;
E80A0600102E;2026-06-12T21:39:28Z;4.78;°C;
E80A0600102E;2026-06-12T21:40:28Z;4.72;°C;
E80A0600102E;2026-06-12T21:41:28Z;4.66;°C;
E80A0600102E;2026-06-12T21:42:28Z;4.59;°C;
E80A0600102E;2026-06-12T21:43:28Z;4.53;°C;
E80A0600102E;2026-06-12T21:44:28Z;4.47;°C;
E80A0600102E;2026-06-12T21:45:28Z;4.41;°C;
E80A0600102E;2026-06-12T21:46:28Z;4.34;°C;
E80A0600102E;2026-06-12T21:47:28Z;4.34;°C;
E80A0600102E;2026-06-12T21:48:28Z;4.28;°C;
E80A0600102E;2026-06-12T21:49:28Z;4.22;°C;
E80A0600102E;2026-06-12T21:50:28Z;4.16;°C;
E80A0600102E;2026-06-12T21:51:28Z;4.09;°C;
E80A0600102E;2026-06-12T21:52:28Z;4.03;°C;
E80A0600102E;2026-06-12T21:53:28Z;3.97;°C;
E80A0600102E;2026-06-12T21:54:28Z;3.91;°C;
E80A0600102E;2026-06-12T21:55:28Z;3.84;°C;
E80A0600102E;2026-06-12T21:56:28Z;3.78;°C;
E80A0600102E;2026-06-12T21:57:28Z;3.72;°C;
E80A0600102E;2026-06-12T21:58:28Z;3.72;°C;
E80A0600102E;2026-06-12T21:59:28Z;3.66;°C;
E80A0600102E;2026-06-12T22:00:28Z;3.59;°C;
E80A0600102E;2026-06-12T22:01:28Z;3.53;°C;
E80A0600102E;2026-06-12T22:02:28Z;3.47;°C;
E80A0600102E;2026-06-12T22:03:28Z;3.47;°C;
E80A0600102E;2026-06-12T22:04:28Z;3.41;°C;
E80A0600102E;2026-06-12T22:05:28Z;3.34;°C;
E80A0600102E;2026-06-12T22:06:28Z;3.28;°C;
E80A0600102E;2026-06-12T22:07:28Z;3.28;°C;
E80A0600102E;2026-06-12T22:08:28Z;3.22;°C;
E80A0600102E;2026-06-12T22:09:28Z;3.16;°C;
E80A0600102E;2026-06-12T22:10:28Z;3.22;°C;
E80A0600102E;2026-06-12T22:11:28Z;3.22;°C;
E80A0600102E;2026-06-12T22:12:28Z;3.22;°C;
E80A0600102E;2026-06-12T22:13:28Z;3.28;°C;
E80A0600102E;2026-06-12T22:14:28Z;3.34;°C;
E80A0600102E;2026-06-12T22:15:28Z;3.41;°C;
E80A0600102E;2026-06-12T22:16:28Z;3.47;°C;
E80A0600102E;2026-06-12T22:17:28Z;3.53;°C;
E80A0600102E;2026-06-12T22:18:28Z;3.53;°C;
E80A0600102E;2026-06-12T22:19:28Z;3.53;°C;
E80A0600102E;2026-06-12T22:20:28Z;3.53;°C;
E80A0600102E;2026-06-12T22:21:28Z;3.53;°C;
E80A0600102E;2026-06-12T22:22:28Z;3.53;°C;
E80A0600102E;2026-06-12T22:23:28Z;3.53;°C;
E80A0600102E;2026-06-12T22:24:28Z;3.53;°C;
E80A0600102E;2026-06-12T22:25:28Z;3.53;°C;
E80A0600102E;2026-06-12T22:26:28Z;3.59;°C;
E80A0600102E;2026-06-12T22:27:28Z;3.59;°C;
E80A0600102E;2026-06-12T22:28:28Z;3.66;°C;
E80A0600102E;2026-06-12T22:29:28Z;3.66;°C;
E80A0600102E;2026-06-12T22:30:28Z;3.72;°C;
E80A0600102E;2026-06-12T22:31:28Z;3.72;°C;
E80A0600102E;2026-06-12T22:32:28Z;3.72;°C;
E80A0600102E;2026-06-12T22:33:28Z;3.78;°C;
E80A0600102E;2026-06-12T22:34:28Z;3.78;°C;
E80A0600102E;2026-06-12T22:35:28Z;3.84;°C;
E80A0600102E;2026-06-12T22:36:28Z;3.84;°C;
E80A0600102E;2026-06-12T22:37:28Z;3.91;°C;
E80A0600102E;2026-06-12T22:38:28Z;3.91;°C;
E80A0600102E;2026-06-12T22:39:28Z;3.97;°C;
E80A0600102E;2026-06-12T22:40:28Z;3.97;°C;
E80A0600102E;2026-06-12T22:41:28Z;4.03;°C;
E80A0600102E;2026-06-12T22:42:28Z;4.03;°C;
E80A0600102E;2026-06-12T22:43:28Z;4.09;°C;
E80A0600102E;2026-06-12T22:44:28Z;4.09;°C;
E80A0600102E;2026-06-12T22:45:28Z;4.16;°C;
E80A0600102E;2026-06-12T22:46:28Z;4.16;°C;
E80A0600102E;2026-06-12T22:47:28Z;4.22;°C;
E80A0600102E;2026-06-12T22:48:28Z;4.28;°C;
E80A0600102E;2026-06-12T22:49:28Z;4.28;°C;
E80A0600102E;2026-06-12T22:50:28Z;4.28;°C;
E80A0600102E;2026-06-12T22:51:28Z;4.34;°C;
E80A0600102E;2026-06-12T22:52:28Z;4.41;°C;
E80A0600102E;2026-06-12T22:53:28Z;4.41;°C;
E80A0600102E;2026-06-12T22:54:28Z;4.47;°C;
E80A0600102E;2026-06-12T22:55:28Z;4.47;°C;
E80A0600102E;2026-06-12T22:56:28Z;4.53;°C;
E80A0600102E;2026-06-12T22:57:28Z;4.53;°C;
E80A0600102E;2026-06-12T22:58:28Z;4.59;°C;
E80A0600102E;2026-06-12T22:59:28Z;4.59;°C;
E80A0600102E;2026-06-12T23:00:28Z;4.59;°C;
E80A0600102E;2026-06-12T23:01:28Z;4.66;°C;
