Sensor S/N;YYYY-MM-DDThh:mm:ss (UTC);Value;Unit;Status
E80A0600102E;2026-06-12T14:23:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:24:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:25:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:26:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:27:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:28:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:29:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:30:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:31:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:32:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:33:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:34:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:35:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:36:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:37:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:38:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:39:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:40:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:41:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:42:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:43:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:44:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:45:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:46:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:47:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:48:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:49:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:50:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:51:20Z;26.41;°C;
E80A0600102E;2026-06-12T14:52:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:53:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:54:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:55:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:56:20Z;26.47;°C;
E80A0600102E;2026-06-12T14:57:20Z;26.41;°C;
E80A0600102E;2026-06-12T14:58:20Z;26.41;°C;
E80A0600102E;2026-06-12T14:59:20Z;26.41;°C;
E80A0600102E;2026-06-12T15:00:20Z;26.41;°C;
E80A0600102E;2026-06-12T15:01:20Z;26.41;°C;
E80A0600102E;2026-06-12T15:02:20Z;26.41;°C;
E80A0600102E;2026-06-12T15:03:20Z;26.41;°C;
E80A0600102E;2026-06-12T15:04:20Z;26.41;°C;
E80A0600102E;2026-06-12T15:05:20Z;26.41;°C;
E80A0600102E;2026-06-12T15:06:20Z;26.41;°C;
E80A0600102E;2026-06-12T15:07:20Z;26.41;°C;
E80A0600102E;2026-06-12T15:08:20Z;26.41;°C;
E80A0600102E;2026-06-12T15:09:20Z;26.41;°C;
E80A0600102E;2026-06-12T15:10:20Z;26.41;°C;
E80A0600102E;2026-06-12T15:11:20Z;26.59;°C;
E80A0600102E;2026-06-12T15:12:20Z;25.78;°C;
E80A0600102E;2026-06-12T15:13:20Z;24.47;°C;
E80A0600102E;2026-06-12T15:14:20Z;22.97;°C;
E80A0600102E;2026-06-12T15:15:20Z;21.47;°C;
E80A0600102E;2026-06-12T15:16:20Z;20.09;°C;
E80A0600102E;2026-06-12T15:17:20Z;18.78;°C;
E80A0600102E;2026-06-12T15:18:20Z;17.66;°C;
E80A0600102E;2026-06-12T15:19:20Z;16.66;°C;
E80A0600102E;2026-06-12T15:20:20Z;15.78;°C;
E80A0600102E;2026-06-12T15:21:20Z;15.03;°C;
E80A0600102E;2026-06-12T15:22:20Z;14.28;°C;
E80A0600102E;2026-06-12T15:23:20Z;13.59;°C;
E80A0600102E;2026-06-12T15:24:20Z;13.03;°C;
E80A0600102E;2026-06-12T15:25:20Z;12.47;°C;
E80A0600102E;2026-06-12T15:26:20Z;11.97;°C;
E80A0600102E;2026-06-12T15:27:20Z;11.47;°C;
E80A0600102E;2026-06-12T15:28:20Z;11.09;°C;
E80A0600102E;2026-06-12T15:29:20Z;10.66;°C;
E80A0600102E;2026-06-12T15:30:20Z;10.28;°C;
E80A0600102E;2026-06-12T15:31:20Z;9.97;°C;
E80A0600102E;2026-06-12T15:32:20Z;9.66;°C;
E80A0600102E;2026-06-12T15:33:20Z;9.34;°C;
E80A0600102E;2026-06-12T15:34:20Z;9.16;°C;
E80A0600102E;2026-06-12T15:35:20Z;8.97;°C;
E80A0600102E;2026-06-12T15:36:20Z;8.78;°C;
E80A0600102E;2026-06-12T15:37:20Z;8.53;°C;
E80A0600102E;2026-06-12T15:38:20Z;8.34;°C;
